T,B,Olap,K,Var5m,TeffsNOTShared,Rxeff,ICC,CAC,Power
6,2,0,4,10,1,0,0.05,0.95,0.05
6,2,5,4,10,0,0.15,0.05,0.95,0.628
6,2,4,4,10,0,0.15,0.05,0.95,0.657
6,2,3,4,10,0,0.15,0.05,0.95,0.695
6,2,2,4,10,0,0.15,0.05,0.95,0.728
6,2,1,4,10,0,0.15,0.05,0.95,0.732
6,2,0,4,10,0,0.15,0.05,0.95,0.617
6,2,5,4,10,1,0.15,0.05,0.95,0.617
6,2,4,4,10,1,0.15,0.05,0.95,0.617
6,2,3,4,10,1,0.15,0.05,0.95,0.617
6,2,2,4,10,1,0.15,0.05,0.95,0.617
6,2,1,4,10,1,0.15,0.05,0.95,0.617
6,2,0,4,10,1,0.15,0.05,0.95,0.617
6,2,5,4,10,0,0,0.1,0.95,0.05
6,2,4,4,10,0,0,0.1,0.95,0.05
6,2,3,4,10,0,0,0.1,0.95,0.05
6,2,2,4,10,0,0,0.1,0.95,0.05
6,2,1,4,10,0,0,0.1,0.95,0.05
6,2,0,4,10,0,0,0.1,0.95,0.05
6,2,5,4,10,1,0,0.1,0.95,0.05
6,2,4,4,10,1,0,0.1,0.95,0.05
6,2,3,4,10,1,0,0.1,0.95,0.05
6,2,2,4,10,1,0,0.1,0.95,0.05
6,2,1,4,10,1,0,0.1,0.95,0.05
6,2,0,4,10,1,0,0.1,0.95,0.05
6,2,5,4,10,0,0.15,0.1,0.95,0.605
6,2,4,4,10,0,0.15,0.1,0.95,0.624
6,2,3,4,10,0,0.15,0.1,0.95,0.651
6,2,2,4,10,0,0.15,0.1,0.95,0.679
6,2,1,4,10,0,0.15,0.1,0.95,0.692
6,2,0,4,10,0,0.15,0.1,0.95,0.598
6,2,5,4,10,1,0.15,0.1,0.95,0.598
6,2,4,4,10,1,0.15,0.1,0.95,0.598
6,2,3,4,10,1,0.15,0.1,0.95,0.598
6,2,2,4,10,1,0.15,0.1,0.95,0.598
6,2,1,4,10,1,0.15,0.1,0.95,0.598
6,2,0,4,10,1,0.15,0.1,0.95,0.598
6,2,5,4,10,0,0,0.01,0.75,0.05
6,2,4,4,10,0,0,0.01,0.75,0.05
6,2,3,4,10,0,0,0.01,0.75,0.05
6,2,2,4,10,0,0,0.01,0.75,0.05
6,2,1,4,10,0,0,0.01,0.75,0.05
6,2,0,4,10,0,0,0.01,0.75,0.05
6,2,5,4,10,1,0,0.01,0.75,0.05
6,2,4,4,10,1,0,0.01,0.75,0.05
6,2,3,4,10,1,0,0.01,0.75,0.05
6,2,2,4,10,1,0,0.01,0.75,0.05
6,2,1,4,10,1,0,0.01,0.75,0.05
6,2,0,4,10,1,0,0.01,0.75,0.05
6,2,5,4,10,0,0.15,0.01,0.75,0.723
6,2,4,4,10,0,0.15,0.01,0.75,0.77
6,2,3,4,10,0,0.15,0.01,0.75,0.814
6,2,2,4,10,0,0.15,0.01,0.75,0.837
6,2,1,4,10,0,0.15,0.01,0.75,0.819
6,2,0,4,10,0,0.15,0.01,0.75,0.701
6,2,5,4,10,1,0.15,0.01,0.75,0.701
6,2,4,4,10,1,0.15,0.01,0.75,0.701
6,2,3,4,10,1,0.15,0.01,0.75,0.701
