"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",-2.83801234342997e-07,5.34082108632e-07,-2.85810674738178e-07,0.0617012212990617,0.060227002626659,0.0617179581605514,0.00380331421222661,0.00362394979724496,0.00380537894088986,0.0611350382234293,0.059651770167622,0.0611254809860156,56,63,56
"2",-4.20322540951909e-07,9.51613866830549e-07,-4.30895893071991e-07,0.0647603136204288,0.0593335273140015,0.0647669002151823,0.0041898809930345,0.00351785256500939,0.00419074228339057,0.0609305331652822,0.0563035463181993,0.060930443553982,57,52,57
"3",1.26184428853884e-06,-1.82078162125898e-07,1.26554000467883e-06,0.0625193790661267,0.0534346633913097,0.062510467446024,0.00390635633706374,0.00285244114094796,0.00390525257328355,0.0610190713182653,0.053330210742033,0.0610110576231275,63,59,61
"4",3.00461978316932e-06,3.40869706248561e-06,3.01419291972693e-06,0.0593386366056876,0.0503339408315131,0.0593359320199007,0.00352658046046904,0.00254259130969443,0.00352631743479894,0.0608906312765593,0.0515922058902739,0.0608912151611873,50,44,50
"5",-1.58051665454545e-06,-9.11033623450027e-07,-1.58051665454545e-06,0.0604758009887242,0.0522247924411518,0.0604758009887242,0.00365616321561785,0.00272553149883893,0.00365616321561785,0.0609891467045964,0.0528404039798971,0.0609891467045964,44,43,44
"6",4.063676899867e-07,4.063676899867e-07,4.063676899867e-07,0.0631458917184147,0.0631458917184147,0.0631458917184147,0.00398358137197231,0.00398358137197231,0.00398358137197231,0.0610379776062459,0.0610379776062459,0.0610379776062459,51,51,51
"7",6.59109150731687e-07,0.00014188228451649,4.61640322799723e-07,0.0604194004496175,0.0634352955966246,0.0617334729286376,0.00364728787161313,0.0241505953503219,0.00380742376993864,0.0610305927780599,0.128321044513533,0.104819297714229,47,44,1
"8",-4.22269034871425e-07,0.00019387810167002,-3.27357825725195e-07,0.0616426824212089,0.0715028762517471,0.0625719096549491,0.00379619878692374,0.0426962669581308,0.00391143579713531,0.0611225411701286,0.104167320490233,0.08528564645387,46,451,5
"9",-1.16175610255282e-06,0.000290731538014646,-6.36710877270565e-07,0.0607215595103916,0.0690601964391007,0.0626763874471633,0.00368477035882647,0.0892893686178365,0.00392480661462473,0.0612116239716535,0.0875051331341266,0.0790159492250341,44,946,11
"10",3.0020166611331e-07,-0.00023151591535411,-5.43434713700321e-07,0.061018511378669,0.0517928322518802,0.0620248096453643,0.00371962559317822,0.0562794340374504,0.00384352525582019,0.0610394072388197,0.0749402954588542,0.0838605475867165,51,949,6
"11",-2.9340857849275e-06,-0.000187362573489614,-2.9340857849275e-06,0.0630829865418666,0.108418398794351,0.0630829865418666,0.00398409258724359,0.0468475285925847,0.00398409258724359,0.0610254229481515,0.0706675504189077,0.0610254229481515,66,664,66
"12",7.83530275070824e-07,7.83530275070824e-07,7.83530275070824e-07,0.0592866014842782,0.0592866014842782,0.0592866014842782,0.00351200013413202,0.00351200013413202,0.00351200013413202,0.0609558269072072,0.0609558269072072,0.0609558269072072,53,53,53
"13",1.027209743891e-06,1.05803438586284e-06,1.03093010476285e-06,0.0635266638316684,0.0619567681262994,0.0635426539112104,0.00403265654042217,0.00383592191230104,0.00403469401409469,0.061067006022082,0.0595651426433245,0.0610410663781997,683,701,684
"14",-6.0294263067074e-07,8.28764252131943e-07,-6.02965419790917e-07,0.0618945088764346,0.0569632574091515,0.0618937137210213,0.00382746283864186,0.0032422547321522,0.00382736453367902,0.0609875217834623,0.0562981218685983,0.0609801440610627,695,752,695
"15",1.61334180433434e-06,2.28517367982474e-06,1.61407745242973e-06,0.0610097204235199,0.0532665959923715,0.0610157474415668,0.00372106667194751,0.00283971493711288,0.00372180376043965,0.06099170286026,0.0533404209596196,0.0609894897379257,699,807,700
"16",1.20488352121228e-06,-7.82674762877772e-07,1.21047887580406e-06,0.0582630386092253,0.0505175110538545,0.0582621577857004,0.00339263883061178,0.00255007948393768,0.00339254980992478,0.0609635115075383,0.0516373998418062,0.0609637788783714,709,840,710
"17",2.27712757800843e-06,1.3057993438711e-06,2.27712757800843e-06,0.0612295296613964,0.0530271185399958,0.0612295296613964,0.0037504915572598,0.00281076853728056,0.0037504915572598,0.0610418771311729,0.0528868773608663,0.0610418771311729,703,815,703
"18",-2.07829003523718e-06,-2.07829003523718e-06,-2.07829003523718e-06,0.0608507923593888,0.0608507923593888,0.0608507923593888,0.00370343540130526,0.00370343540130526,0.00370343540130526,0.0611402648651108,0.0611402648651108,0.0611402648651108,674,674,674
"19",1.26366607063619e-06,-6.44970563487852e-05,9.8800701386575e-07,0.0607283113161578,0.0600004675707,0.0619285584210491,0.00368583671945495,0.00775632633025229,0.00383228735962063,0.0611372034043208,0.105895108331314,0.107853627301816,696,16,167
"20",3.23111542646537e-06,-7.86490437135425e-05,3.43315991729356e-06,0.0597878890108421,0.0729703261612839,0.0597971372252625,0.00358145718759955,0.0115050159086388,0.00358390850973424,0.061355532654186,0.0783979598953289,0.0649440927830109,707,146,675
"21",1.85145061037477e-07,0.000129065053230723,2.76838913619366e-07,0.0591664972838629,0.0735737385039388,0.0604290049316657,0.00349720800513413,0.0220654698678981,0.00364808961217834,0.0610012641558369,0.100271227520674,0.0774270068168095,694,877,500
"22",3.09539917872944e-06,0.000440197813368954,3.06653126551768e-06,0.0574201360464128,0.051236639933624,0.0594504812859619,0.00330335644764064,0.196396682973225,0.00354022897940977,0.0609841406572986,0.0955266631266206,0.09912300972194,716,1000,257
"23",-3.11102585472491e-08,-0.000275462562213732,-3.11102585472491e-08,0.0625006279572646,0.0947554008149687,0.0625006279572646,0.00390242313440554,0.0848492305789761,0.00390242313440554,0.0610339549855878,0.0661687394634549,0.0610339549855878,679,559,679
"24",5.41589064391939e-07,5.41589064391939e-07,5.41589064391939e-07,0.0612587540511782,0.0612587540511782,0.0612587540511782,0.00374917563166951,0.00374917563166951,0.00374917563166951,0.0611207680235777,0.0611207680235777,0.0611207680235777,699,699,699
"25",-2.19695082432384e-06,-2.46361029912284e-06,-2.20146613604859e-06,0.0657499503444437,0.0649319182164838,0.0657417427222896,0.00432355950725102,0.00421800722497481,0.00432250121257573,0.0668105703629727,0.0659163353868825,0.0667948342281174,55,52,55
"26",-9.01148417980423e-07,4.36804484289444e-07,-9.04108846659175e-07,0.066395658836137,0.0642189115656467,0.0663986650046829,0.00440478719724365,0.00412013533223116,0.0044051913444963,0.0667136368443028,0.063648022249019,0.0667142911091316,43,55,43
"27",-3.39269821902375e-06,-2.20773683957289e-06,-3.39050794987615e-06,0.0645934274297293,0.0592871998001868,0.0645892076347655,0.00417964895745796,0.00351633119003992,0.00417908952130214,0.0668526359497375,0.0610731981197639,0.066845736626861,44,43,44
"28",1.80450089559652e-06,6.18113211844379e-07,1.80128834108208e-06,0.0664361199024794,0.0588027064684924,0.0664360871317316,0.00441260049315112,0.00345468259367431,0.00441258455938938,0.0668521584978777,0.0588084486167915,0.0668492314871725,49,55,49
"29",-3.00046919856263e-06,-2.55378786924318e-06,-3.00046919856263e-06,0.0662725015836095,0.0566773399191326,0.0662725015836095,0.00439665523709491,0.00321563037192969,0.00439665523709491,0.0665586977441066,0.0583256819894911,0.0665586977441066,47,39,47
"30",3.57163092341872e-09,3.57163092341872e-09,3.57163092341872e-09,0.0667582061149697,0.0667582061149697,0.0667582061149697,0.00445220143836163,0.00445220143836163,0.00445220143836163,0.0667757114871779,0.0667757114871779,0.0667757114871779,52,52,52
"31",-3.5794343091017e-06,-8.39835904984699e-05,-1.6441957019104e-06,0.06754102659485,0.0745899423530754,0.0790747432911043,0.00457004083318594,0.0126113393137495,0.00624926559103367,0.0666927996808075,0.10876444591952,0.106500697005891,51,45,22
